Date,Revenue,OrderCount,UniqueCustomers,AvgOrderValue
2009-12-01,680586.01,1508,953,451.31698275862067
2010-01-01,553112.672,1006,720,549.8137892644136
2010-02-01,501823.956,1099,772,456.6187042766151
2010-03-01,693654.871,1521,1055,456.05185470085473
2010-04-01,588219.002,1324,940,444.27417069486404
2010-05-01,594602.38,1372,965,433.38365889212827
2010-06-01,632775.93,1489,1040,424.9670449966421
2010-07-01,586840.67,1373,927,427.4149089584851
2010-08-01,599425.72,1286,911,466.1164230171073
2010-09-01,824599.951,1680,1142,490.83330416666666
2010-10-01,1026508.01,2125,1496,483.0625929411765
2010-11-01,1158317.122,2577,1607,449.4827792006209
2010-12-01,565977.73,1397,884,405.13795991410166
2011-01-01,562977.31,985,741,571.5505685279188
2011-02-01,442918.92,996,758,444.6977108433735
2011-03-01,588756.76,1318,974,446.7046737481032
2011-04-01,464949.381,1146,854,405.71499214659684
2011-05-01,663981.4,1551,1055,428.0989039329465
2011-06-01,654536.03,1391,991,470.55070452911576
2011-07-01,593651.561,1327,948,447.36364807837225
2011-08-01,638853.92,1271,934,502.63880409126676
2011-09-01,943083.871,1744,1261,540.7591003440367
2011-10-01,1024210.1900000001,1918,1363,533.9990563086549
2011-11-01,1140620.32,2649,1662,430.58524726311816
2011-12-01,512816.18,776,614,660.8455927835051
