ActualDecile,Count,MeanActual,MeanPredicted,ActualRevenue,PredictedRevenue,MAE,MedianAE,RevenueError_%
1,56,0.0,297.05089947405514,0.0,16634.850370547087,297.05089947405514,221.47142310467552,
2,56,0.0,353.4227889854181,0.0,19791.676183183412,353.4227889854181,265.4008312448315,
3,55,0.0,290.37438142544727,0.0,15970.590978399601,290.37438142544727,227.37235312872517,
4,56,7.295535714285714,310.5370769265431,408.55,17390.07630788641,303.24154121225735,211.1097296896009,4156.535627924712
5,55,160.7041818181818,317.6094161489227,8838.73,17468.51788819075,197.15349086250353,136.9789138778276,97.63606183457068
6,56,313.81660714285715,404.06548912459675,17573.73,22627.667390977418,206.83804635301058,129.3517841297562,28.75847865522811
7,55,511.64945454545455,428.51828394118775,28140.72,23568.505616765327,201.23015045089267,184.69452137007306,16.247680881067268
8,56,815.9966071428571,720.4025813932647,45695.81,40342.54455802282,392.13137897494784,347.35984568934174,11.715002845944035
9,55,1246.8265454545456,1048.00925457211,68575.46,57640.50900146605,603.3758701838724,571.4893563629155,15.945866055486835
10,56,5885.104107142857,3770.2862248693577,329565.83,211136.02859268404,2439.184217853617,1042.0589813944866,35.93509721785052
