Feature,MeanAbsSHAP
UniqueProducts,0.29987273
SpendLast90Days,0.2378797
RecencyFrequency,0.15878628
AvgQuantity,0.13040072
AvgGapDays,0.12005089
Recency,0.11312778
StdGapDays,0.110851854
ReturnRate,0.10875557
AvgBasketValue,0.10828515
Monetary,0.09639481
SpendTrendRatio,0.0940206
PurchaseRate,0.086856805
AvgSpendPerProduct,0.081945464
LifetimeDays,0.08023837
PurchasesLast90Days,0.07737816
RevenuePerDay,0.074053146
Frequency,0.06489634
ProductDiversityRate,0.062371958
SpendPrior90Days,0.059070494
PurchasesPrior90Days,0.025081994
SpendLast30Days,0.024382755
FrequencyLast90DaysRatio,0.010055601
PurchasesLast30Days,0.0046578827
IsNewCustomer,0.0
AvgGapDaysMissing,0.0
